title,cast,director,overview,runtime,userRating
Captain America: The Winter Soldier,Chris Evans|Scarlett Johansson|Sebastian Stan|Samuel L. Jackson|Robert Redford,Joe Russo|Anthony Russo,After the cataclysmic events in New York with The Avengers Steve Rogers aka Captain America is living quietly in Washington D.C. and trying to adjust to the modern world. But when a S.H.I.E.L.D. colleague comes under attack Steve becomes embroiled in a web of intrigue that threatens to put the world at risk. Joining forces with the Black Widow Captain America struggles to expose the ever-widening conspiracy while fighting off professional assassins sent to silence him at every turn. When the full scope of the villainous plot is revealed Captain America and the Black Widow enlist the help of a new ally the Falcon. However they soon find themselves up against an unexpected and formidable enemyÌ¢‰âÂ‰Ûthe Winter Soldier.,136,7.6
The Twilight Saga: Breaking Dawn - Part 1,Kristen Stewart|Robert Pattinson|Taylor Lautner|Ashley Greene|Peter Facinelli,Bill Condon,The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world. Bella soon discovers she is pregnant and during a nearly fatal childbirth Edward finally fulfills her wish to become immortal. But the arrival of their remarkable daughter Renesmee sets in motion a perilous chain of events that pits the Cullens and their allies against the Volturi the fearsome council of vampire leaders setting the stage for an all-out battle.,117,5.8
The Twilight Saga: New Moon,Kristen Stewart|Robert Pattinson|Taylor Lautner|Billy Burke|Ashley Greene,Chris Weitz,Forks Washington resident Bella Swan is reeling from the departure of her vampire love Edward Cullen and finds comfort in her friendship with Jacob Black a werewolf. But before she knows it she's thrust into a centuries-old conflict and her desire to be with Edward at any cost leads her to take greater and greater risks.,130,5.6
Transformers,Shia LaBeouf|Josh Duhamel|Megan Fox|Rachael Taylor|Tyrese Gibson,Michael Bay,Young teenager Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots Ì¢‰âÂ‰ÛÏ the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.,144,6.6
Dawn of the Planet of the Apes,Andy Serkis|Jason Clarke|Toby Kebbell|Keri Russell|Judy Greer,Matt Reeves,A group of scientists in San Francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity while Caesar tries to maintain dominance over his community of intelligent apes.,130,7.4
The Amazing Spider-Man 2,Andrew Garfield|Emma Stone|Jamie Foxx|Dane DeHaan|Colm Feore,Marc Webb,For Peter Parker life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves Gwen Stacy high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to GwenÌ¢‰âÂ‰ã¢s father to protect her by staying away but that is a promise he cannot keep. Things will change for Peter when a new villain Electro emerges an old friend Harry Osborn returns and Peter uncovers new clues about his past.,142,6.6
The Twilight Saga: Eclipse,Kristen Stewart|Robert Pattinson|Taylor Lautner|Ashley Greene|Peter Facinelli,David Slade,Bella once again finds herself surrounded by danger as Seattle is ravaged by a string of mysterious killings and a malicious vampire continues her quest for revenge. In the midst of it all she is forced to choose between her love for Edward and her friendship with Jacob knowing that her decision has the potential to ignite the ageless struggle between vampire and werewolf. With her graduation quickly approaching Bella is confronted with the most important decision of her life.,124,5.9
Mission: Impossible - Ghost Protocol,Tom Cruise|Jeremy Renner|Simon Pegg|Paula Patton|Anil Kapoor,Brad Bird,In the 4th installment of the Mission Impossible series Ethan Hunt (Cruise) and his team are racing against time to track down a dangerous terrorist named Hendricks (Nyqvist) who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing forcing the President to disavow them. No longer being aided by the government Ethan and his team chase Hendricks around the globe although they might still be too late to stop a disaster.,133,6.7
The Hunger Games,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Gary Ross,Every year in the ruins of what was once North America the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment part government intimidation tactic the Hunger Games are a nationally televised event in which Ì¢‰âÂÒTributesÌ¢‰âÂ must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If sheÌ¢‰âÂ‰ã¢s ever to return home to District 12 Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.,142,6.7
Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,Ethan and team take on their most impossible mission yet eradicating the Syndicate - an International rogue organization as highly skilled as they are committed to destroying the IMF.,131,7.1
Forrest Gump,Tom Hanks|Robin Wright|Gary Sinise|Mykelti Williamson|Sally Field,Robert Zemeckis,A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case far exceeding what anyone imagined he could do. Yet despite all the things he has attained his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges and who proved that determination courage and love are more important than ability.,142,8.1
The Sixth Sense,Bruce Willis|Haley Joel Osment|Toni Collette|Olivia Williams|Mischa Barton,M. Night Shyamalan,A psychological thriller about an eight year old boy named Cole Sear who believes he can see into the world of the dead. A child psychologist named Malcolm Crowe comes to Cole to help him deal with his problem learning that he really can see ghosts of dead people.,107,7.5
Kung Fu Panda 2,Jack Black|Angelina Jolie|Dustin Hoffman|Gary Oldman|Jackie Chan,Jennifer Yuh,Po is now living his dream as The Dragon Warrior protecting the Valley of Peace alongside his friends and fellow kung fu masters The Furious Five - Tigress Crane Mantis Viper and Monkey. But PoÌ¢‰âÂ‰ã¢s new life of awesomeness is threatened by the emergence of a formidable villain who plans to use a secret unstoppable weapon to conquer China and destroy kung fu. It is up to Po and The Furious Five to journey across China to face this threat and vanquish it. But how can Po stop a weapon that can stop kung fu? He must look to his past and uncover the secrets of his mysterious origins; only then will he be able to unlock the strength he needs to succeed.,91,6.6
Man of Steel,Henry Cavill|Amy Adams|Michael Shannon|Diane Lane|Russell Crowe,Zack Snyder,A young boy learns that he has extraordinary powers and is not of this earth. As a young man he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.,143,6.5
Ice Age: The Meltdown,Ray Romano|John Leguizamo|Denis Leary|Queen Latifah|Seann William Scott,Carlos Saldanha,Diego Manny and Sid return in this sequel to the hit animated movie Ice Age. This time around the deep freeze is over and the ice-covered earth is starting to melt which will destroy the trio's cherished valley. The impending disaster prompts them to reunite and warn all the other beasts about the desperate situation.,91,6.4
Pirates of the Caribbean: The Curse of the Black Pearl,Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport,Gore Verbinski,Jack Sparrow a freewheeling 17th-century pirate who roams the Caribbean Sea butts heads with a rival pirate bent on pillaging the village of Port Royal. When the governor's daughter is kidnapped Sparrow decides to help the girl's love save her. But their seafaring mission is hardly simple.,143,7.3
Big Hero 6,Scott Adsit|Ryan Potter|Daniel Henney|T.J. Miller|Jamie Chung,Don Hall|Chris Williams,The special bond that develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada who team up with a group of friends to form a band of high-tech heroes.,102,7.8
The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,With the nation of Panem in a full scale war Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends Ì¢‰âÂ‰ÛÏ including Gale Finnick and Peeta Ì¢‰âÂ‰ÛÏ Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps enemies and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.,136,6.5
Star Wars: Episode II - Attack of the Clones,Ewan McGregor|Natalie Portman|Hayden Christensen|Ian McDiarmid|Samuel L. Jackson,George Lucas,Ten years after the invasion of Naboo the galaxy is on the brink of civil war. Under the leadership of a renegade Jedi named Count Dooku thousands of solar systems threaten to break away from the Galactic Republic. When an assassination attempt is made on Senator PadmÌÄå© Amidala the former Queen of Naboo twenty-year-old Jedi apprentice Anakin Skywalker is assigned to protect her. In the course of his mission Anakin discovers his love for PadmÌÄå© as well as his own darker side. Soon Anakin PadmÌÄå© and Obi-Wan Kenobi are drawn into the heart of the Separatist movement and the beginning of the Clone Wars.,142,6.4
Kung Fu Panda,Jack Black|Dustin Hoffman|Angelina Jolie|Jackie Chan|Lucy Liu,Mark Osborne|John Stevenson,"When the Valley of Peace is threatened lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress Crane Mantis Viper and Monkey -- to give it a try.",90,6.8
The Incredibles,Craig T. Nelson|Holly Hunter|Samuel L. Jackson|Jason Lee|Dominique Louis,Brad Bird,Bob Parr has given up his superhero days to log in time as an insurance adjuster and raise his three children with his formerly heroic wife in suburbia. But when he receives a mysterious assignment it's time to get back into costume.,115,7.2
Fast Five,Vin Diesel|Paul Walker|Dwayne Johnson|Jordana Brewster|Tyrese Gibson,Justin Lin,Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro they must pull one last job in order to gain their freedom.,130,7.1
Hancock,Will Smith|Charlize Theron|Jason Bateman|Jae Head|Eddie Marsan,Peter Berg,Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful but will Hancock stick to his new sense of purpose or slip back into old habits?,92,6
Men in Black 3,Will Smith|Tommy Lee Jones|Josh Brolin|Michael Stuhlbarg|Emma Thompson,Barry Sonnenfeld,Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black but nothing not even aliens perplexes him as much as his wry reticent partner. But when K's life and the fate of the planet are put at stake Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner the agency and the future of humankind.,106,6.1
